income_monthly,credit_score,debt_to_income,employment_years,loan_amount,prior_defaults,target
113.81,578.0,319.65,8.02,73.45,2,1
100.48,607.0,82.97,2.47,268.55,4,1
99.79,667.0,667.39,9.41,372.3,3,0
443.53,551.0,51.21,9.05,122.07,3,1
60.62,765.0,225.04,2.7,109.49,0,1
112.66,760.0,252.1,2.74,123.65,6,0
225.9,614.0,274.1,0.0,135.55,1,0
63.1,654.0,102.29,0.0,139.77,5,1
76.23,699.0,106.67,8.83,179.03,0,0
52.04,667.0,133.38,1.38,285.44,5,1
196.72,626.0,335.85,7.57,601.71,2,1
54.46,652.0,59.91,7.86,69.48,6,0
53.4,705.0,128.53,2.63,212.0,2,1
292.83,716.0,437.67,8.91,468.33,2,1
36.06,649.0,134.34,4.51,119.56,3,1
95.1,565.0,218.21,10.16,39.16,2,1
149.29,683.0,103.87,2.21,100.78,5,1
96.12,727.0,150.46,3.67,67.87,4,0
108.02,847.0,442.4,3.64,137.18,2,0
214.7,731.0,129.32,4.49,72.56,2,0
71.78,709.0,125.33,2.04,81.56,2,0
220.21,664.0,423.71,6.7,121.1,3,1
195.01,630.0,78.06,7.72,87.87,5,1
88.25,609.0,188.19,8.46,94.2,3,0
254.71,590.0,118.73,7.24,357.73,2,0
89.26,715.0,35.71,3.95,89.64,2,0
127.8,732.0,97.42,0.93,100.94,6,1
105.06,662.0,87.19,7.49,50.67,4,0
86.75,664.0,92.41,3.44,51.34,3,0
162.63,704.0,37.37,1.19,93.38,5,0
34.37,629.0,99.94,2.97,110.66,4,0
87.12,629.0,161.26,5.84,120.04,5,1
109.96,709.0,225.69,8.9,123.36,3,0
224.94,750.0,155.63,6.73,129.3,3,1
191.62,608.0,60.08,5.69,145.09,1,1
112.51,729.0,125.0,1.94,130.29,2,0
436.36,716.0,94.64,7.64,293.0,4,1
56.49,623.0,101.89,2.74,119.23,3,0
137.69,563.0,212.71,8.33,100.02,2,1
157.38,803.0,200.64,5.44,406.87,1,0
62.34,647.0,105.96,4.11,106.88,7,0
58.04,640.0,76.6,4.9,93.65,4,0
169.71,724.0,37.79,0.0,106.05,2,0
102.01,838.0,165.53,14.55,366.47,4,0
291.43,698.0,129.05,6.2,58.93,1,1
100.47,776.0,101.34,7.73,452.06,2,0
111.22,619.0,236.77,0.13,265.03,0,1
365.91,818.0,248.45,7.33,28.48,3,1
64.01,548.0,251.5,5.3,342.74,2,1
152.31,677.0,194.21,5.39,186.77,5,0
292.51,662.0,49.47,13.9,71.93,1,0
148.26,647.0,139.01,14.19,113.76,5,0
102.91,695.0,562.34,7.18,107.84,2,0
289.35,840.0,203.71,4.8,147.1,5,0
45.01,675.0,165.17,1.5,182.17,3,0
130.51,695.0,64.39,10.17,274.48,3,0
80.36,614.0,421.12,5.49,154.59,4,1
162.63,719.0,153.39,2.47,52.04,2,1
113.19,688.0,164.81,9.24,147.82,4,0
94.45,653.0,80.52,1.08,96.85,2,0
251.66,544.0,134.36,6.26,137.74,7,0
157.36,712.0,99.32,5.84,125.97,2,0
193.76,720.0,85.91,7.07,230.7,4,0
252.68,571.0,84.88,11.5,119.05,2,0
46.1,661.0,97.34,5.2,90.23,2,0
116.22,530.0,307.09,9.36,223.41,3,1
122.89,773.0,95.36,1.53,94.79,6,0
248.93,730.0,499.69,2.31,30.23,4,1
40.11,633.0,133.1,0.0,106.12,6,1
201.7,569.0,196.76,7.51,189.06,2,1
335.47,739.0,343.74,1.75,174.7,2,1
105.12,690.0,191.97,9.05,383.94,3,0
233.87,760.0,310.19,7.13,455.69,3,1
128.78,684.0,87.58,13.68,249.18,2,1
222.13,663.0,239.17,4.49,94.79,1,1
299.34,680.0,204.75,8.59,65.61,3,0
200.88,675.0,98.19,7.02,103.6,2,1
511.88,623.0,1095.03,4.42,64.5,2,1
87.54,631.0,114.42,10.45,50.22,3,1
286.33,686.0,319.44,5.63,162.23,3,1
760.56,720.0,261.88,2.55,148.99,2,1
123.79,699.0,196.07,5.44,72.67,2,0
124.46,707.0,85.1,0.0,58.66,3,0
118.63,572.0,94.7,7.08,82.31,3,1
76.2,608.0,135.7,12.87,333.14,6,1
60.34,677.0,61.53,3.71,70.43,4,1
619.42,650.0,86.38,6.24,91.46,2,1
102.2,643.0,80.94,10.96,168.72,4,0
316.84,768.0,65.54,3.69,62.22,2,0
301.71,669.0,164.9,5.36,118.85,2,1
302.75,744.0,80.43,7.57,103.21,2,1
47.18,696.0,250.74,3.44,65.19,2,0
94.01,679.0,283.03,0.0,144.81,4,0
198.69,779.0,38.05,6.86,155.01,2,1
159.14,735.0,699.96,1.17,152.29,2,1
172.67,696.0,217.21,11.01,74.55,5,1
122.78,679.0,404.66,0.0,77.22,2,1
64.46,807.0,251.17,0.0,177.32,5,0
181.63,600.0,123.11,3.3,170.15,0,1
112.8,713.0,90.01,0.99,166.55,2,1
41.03,695.0,75.94,1.71,180.81,6,1
125.72,661.0,86.4,1.71,98.92,3,1
72.3,806.0,406.61,0.0,87.33,4,0
382.46,702.0,116.12,0.0,164.11,3,0
48.41,681.0,213.15,10.54,159.14,0,1
82.94,680.0,66.3,8.43,182.17,3,1
194.71,705.0,99.99,7.54,767.54,4,1
80.98,671.0,271.82,1.68,88.59,2,0
500.08,643.0,482.45,1.39,126.88,1,1
146.89,717.0,438.32,9.84,93.22,6,0
149.69,730.0,114.13,3.78,318.47,2,0
205.1,638.0,219.38,8.37,134.2,2,1
863.23,643.0,49.38,0.0,234.88,3,0
207.93,683.0,277.33,8.58,161.74,1,1
221.08,642.0,123.83,1.19,127.43,3,1
172.3,741.0,174.53,7.8,380.31,1,0
127.56,580.0,32.2,5.91,260.08,2,1
506.44,600.0,137.14,0.0,89.57,2,1
251.37,785.0,117.47,12.37,202.84,7,0
131.87,701.0,108.37,0.36,398.11,1,1
72.73,639.0,283.1,4.68,53.83,2,0
180.45,625.0,425.7,2.91,309.41,4,1
164.08,718.0,89.17,4.57,196.29,1,0
52.95,713.0,128.96,3.63,79.48,2,0
67.66,797.0,152.27,2.73,66.86,3,1
48.7,664.0,151.89,10.57,103.22,5,0
243.16,640.0,166.17,6.8,153.74,4,1
121.71,648.0,56.61,9.51,84.94,2,0
55.99,670.0,122.95,2.23,230.49,2,0
79.86,602.0,274.93,3.47,199.58,6,0
183.47,780.0,63.85,6.99,114.48,3,0
68.02,699.0,324.09,9.55,172.92,3,0
75.29,556.0,131.69,2.89,91.45,3,1
129.9,775.0,108.18,0.0,117.46,1,0
176.8,653.0,102.4,0.0,361.83,2,1
75.39,620.0,180.15,0.0,526.65,3,1
39.89,653.0,131.93,5.77,112.38,2,0
292.12,636.0,74.64,0.0,281.32,5,1
139.42,726.0,110.45,2.93,195.08,2,0
206.56,669.0,251.3,9.33,261.54,6,0
133.27,646.0,257.1,6.27,443.84,4,0
122.49,850.0,53.48,11.69,161.49,5,0
188.65,686.0,117.54,5.14,268.91,2,1
176.6,710.0,213.64,4.83,163.56,1,0
198.19,624.0,115.92,7.05,113.77,1,0
273.52,693.0,77.93,6.21,96.6,1,1
88.69,728.0,753.8,5.88,151.99,1,1
122.19,606.0,48.6,9.35,103.11,3,0
92.88,693.0,65.61,4.33,284.74,2,0
102.83,654.0,716.41,4.24,97.63,2,0
22.82,545.0,111.92,11.66,224.52,2,0
39.06,720.0,115.08,6.14,78.18,4,0
238.62,610.0,210.19,10.77,152.7,3,0
64.31,627.0,106.05,6.9,301.31,4,0
79.92,821.0,140.09,9.35,182.07,5,0
187.27,776.0,98.52,5.83,133.47,2,0
51.97,693.0,223.36,0.0,139.14,4,0
569.29,682.0,144.04,8.3,162.97,0,1
438.36,643.0,232.12,8.57,146.78,3,0
31.51,601.0,282.11,0.0,219.26,2,1
321.78,652.0,275.27,2.85,328.49,4,0
272.67,762.0,86.72,9.74,169.64,3,0
282.42,672.0,98.27,10.49,195.68,2,0
49.46,620.0,153.55,6.34,349.34,4,0
116.34,765.0,119.96,3.0,80.55,3,0
181.38,572.0,342.64,2.33,149.42,9,0
126.53,704.0,145.92,0.89,118.09,5,1
186.66,597.0,266.21,0.94,24.03,6,0
150.73,715.0,126.11,3.98,119.58,4,0
342.99,607.0,159.34,4.99,264.36,1,1
45.23,678.0,172.94,2.51,70.64,0,1
265.84,677.0,50.15,4.69,46.69,7,0
270.76,623.0,336.25,1.8,75.68,2,1
429.77,591.0,99.25,0.86,338.76,1,1
35.09,788.0,88.52,4.44,149.66,5,0
37.52,523.0,68.53,4.35,334.02,4,0
85.66,643.0,99.8,0.0,288.03,4,1
238.82,638.0,76.76,2.52,266.43,3,0
90.13,709.0,77.82,3.08,174.3,1,1
491.87,740.0,264.86,7.41,65.82,2,1
67.65,669.0,103.51,0.39,209.52,3,1
213.61,638.0,141.0,8.05,102.11,2,1
175.68,570.0,127.84,4.37,206.86,0,1
308.78,626.0,400.25,10.04,127.0,2,1
185.4,738.0,161.81,9.13,118.99,4,0
91.6,684.0,288.01,6.33,254.35,4,0
27.27,736.0,51.81,5.6,277.42,1,0
135.49,647.0,98.92,0.94,139.0,4,0
570.87,707.0,140.78,13.33,63.51,2,0
99.53,774.0,162.05,8.98,221.72,2,0
137.46,612.0,90.25,0.0,110.01,2,1
276.01,811.0,53.77,8.03,279.58,1,0
71.46,741.0,215.79,2.68,85.27,1,0
166.66,688.0,129.77,12.0,82.34,5,0
263.26,749.0,457.95,0.0,88.47,2,1
96.3,680.0,521.98,4.92,120.5,2,1
229.23,759.0,213.3,1.97,61.6,1,1
163.3,792.0,171.29,6.71,30.45,2,0
140.28,686.0,256.8,0.58,38.42,2,1
286.58,646.0,99.28,10.6,116.18,5,0
25.66,688.0,97.18,3.0,124.98,5,0
134.25,570.0,104.35,6.82,173.29,2,1
346.23,769.0,158.9,11.78,600.71,4,1
305.37,737.0,167.7,9.16,169.16,3,0
166.75,595.0,219.9,9.27,170.52,2,1
297.91,550.0,227.22,5.21,47.43,3,0
399.45,728.0,41.21,3.94,169.06,3,1
82.4,656.0,132.09,8.48,51.18,6,0
349.01,732.0,310.95,12.32,245.22,1,0
135.66,553.0,59.56,9.17,178.65,3,0
247.09,669.0,67.73,3.73,179.84,1,0
92.36,692.0,128.81,3.27,128.37,3,1
213.07,656.0,61.94,13.15,94.69,2,0
41.72,720.0,62.5,0.0,133.17,1,1
70.57,638.0,70.69,0.0,341.75,3,1
176.32,721.0,154.24,10.05,132.72,1,0
773.85,532.0,129.64,4.38,493.27,5,1
175.67,612.0,227.32,4.26,132.31,3,1
368.7,712.0,52.82,7.56,120.64,1,0
209.5,654.0,124.4,0.0,196.64,3,1
163.44,624.0,40.76,11.19,354.43,2,0
202.95,750.0,148.31,2.02,72.83,6,0
80.09,795.0,84.91,3.47,268.73,2,0
29.92,732.0,151.38,2.64,266.94,4,0
521.27,667.0,347.45,1.18,84.63,4,1
66.78,761.0,418.77,12.44,99.35,4,0
393.36,696.0,42.12,10.78,234.97,4,1
113.13,597.0,82.36,0.58,134.55,3,1
108.31,667.0,184.33,6.3,226.29,3,0
66.22,739.0,80.69,11.27,136.96,2,0
75.31,695.0,239.22,3.14,250.59,2,1
62.94,640.0,158.21,0.0,120.28,4,0
239.04,743.0,187.72,4.99,207.92,3,1
222.33,749.0,140.74,0.94,101.94,3,1
64.83,755.0,470.37,0.0,105.82,2,0
381.82,719.0,342.44,6.47,107.03,4,1
140.44,676.0,138.43,4.94,161.44,7,0
135.84,765.0,167.31,0.0,91.13,2,0
60.25,769.0,74.04,3.19,115.39,4,0
216.47,663.0,95.1,0.49,72.52,2,1
266.28,605.0,153.8,4.31,80.21,2,1
268.09,668.0,149.0,1.44,160.6,4,1
44.57,683.0,61.78,9.21,86.08,1,0
270.23,652.0,106.97,7.29,75.09,6,0
487.69,734.0,85.78,8.06,82.6,4,0
138.81,654.0,119.24,2.9,226.01,3,1
324.82,647.0,62.42,8.74,109.14,2,0
52.67,637.0,431.51,11.77,47.81,3,0
115.08,686.0,32.32,10.13,118.75,4,0
172.25,671.0,215.6,10.08,312.48,2,0
443.94,576.0,347.67,3.45,511.52,1,1
138.59,780.0,720.74,5.58,114.84,4,1
73.0,639.0,146.32,10.82,149.93,0,0
52.74,687.0,88.68,3.13,148.99,0,1
98.22,692.0,182.65,2.89,394.96,2,0
210.51,739.0,327.76,0.86,81.32,6,0
298.01,616.0,124.31,9.9,151.63,3,0
105.14,678.0,170.25,15.1,76.18,1,0
64.56,831.0,164.54,2.74,69.23,2,0
704.52,651.0,96.24,7.15,42.45,2,1
262.7,577.0,487.0,10.12,42.34,3,1
134.02,753.0,142.43,7.84,104.78,1,0
140.75,678.0,425.02,5.82,117.74,2,1
263.54,735.0,231.83,8.89,42.26,5,0
74.36,737.0,170.54,5.27,230.92,5,0
118.67,663.0,52.06,3.02,190.03,1,1
109.01,595.0,148.2,0.0,332.18,1,1
53.92,817.0,54.82,4.18,134.51,3,0
63.2,753.0,174.98,0.63,76.02,3,0
120.36,655.0,371.39,6.26,170.53,4,1
202.16,720.0,293.5,6.36,120.17,6,0
91.63,752.0,72.16,10.3,111.23,5,0
154.58,718.0,535.2,0.0,202.35,4,0
211.6,734.0,32.88,7.0,332.61,0,1
287.45,750.0,105.86,11.93,138.74,5,0
209.82,714.0,112.93,10.92,63.44,2,0
251.46,696.0,329.6,3.09,181.42,2,1
199.16,741.0,41.42,3.58,255.39,1,0
152.4,702.0,255.28,4.34,404.01,4,1
122.68,649.0,144.92,6.39,84.46,3,0
61.4,699.0,320.12,4.36,173.11,2,1
237.69,689.0,237.79,7.67,51.83,3,1
99.86,626.0,147.37,4.22,465.39,4,1
70.63,727.0,75.26,0.16,49.55,3,0
177.47,675.0,145.88,8.44,67.83,3,0
144.66,632.0,309.55,0.0,117.41,3,0
573.51,593.0,64.82,3.22,325.8,4,1
127.0,705.0,95.05,3.61,60.47,3,0
286.73,584.0,152.82,12.1,79.79,6,1
273.98,662.0,749.2,3.93,172.99,1,1
88.38,682.0,36.67,2.92,118.79,5,0
277.56,683.0,222.03,8.3,34.58,5,0
76.35,640.0,166.75,4.02,293.91,1,1
111.57,516.0,515.58,1.63,483.32,2,1
99.11,604.0,271.3,4.06,456.72,4,1
163.91,593.0,179.63,9.79,203.82,0,1
48.21,754.0,169.94,0.0,459.99,1,1
542.37,777.0,194.8,3.99,105.37,5,0
209.84,797.0,98.66,2.95,94.79,0,1
32.65,638.0,251.33,1.56,552.43,2,1
227.19,573.0,185.43,5.84,247.84,1,0
387.46,678.0,55.76,9.45,266.51,4,0
128.82,628.0,120.35,8.29,445.43,0,1
145.24,696.0,469.65,4.45,153.32,2,0
145.39,847.0,194.15,1.94,148.19,4,0
80.14,631.0,261.32,9.72,353.22,3,0
214.68,763.0,284.84,7.62,270.76,6,0
66.96,639.0,172.38,9.64,217.99,5,0
96.54,754.0,110.03,4.56,207.99,1,1
113.96,676.0,118.53,7.57,70.95,1,1
551.6,692.0,180.76,3.65,200.03,4,1
155.9,730.0,170.28,16.36,132.13,3,0
170.69,763.0,232.42,2.23,245.02,4,0
61.68,676.0,337.7,6.73,172.34,3,0
116.29,794.0,200.34,0.0,99.57,0,0
96.64,620.0,359.87,8.48,153.32,4,1
63.52,745.0,68.29,7.4,237.13,5,0
270.81,537.0,524.32,0.89,133.02,4,1
87.15,607.0,149.36,6.52,245.56,0,1
303.42,586.0,180.72,2.89,33.11,8,1
192.69,567.0,255.14,2.47,249.69,3,1
48.91,695.0,341.1,8.99,251.26,3,1
63.73,663.0,190.51,3.71,132.93,0,0
120.75,589.0,169.08,10.08,52.01,2,0
122.19,704.0,135.12,6.04,274.45,4,1
147.57,568.0,471.83,7.7,85.02,3,1
113.85,769.0,129.27,1.98,447.33,1,1
360.84,613.0,155.13,6.58,996.78,3,1
118.59,668.0,61.02,10.78,176.18,2,0
112.55,727.0,135.01,5.68,215.18,5,0
435.28,656.0,370.84,0.05,174.28,2,1
604.8,591.0,127.81,6.5,80.08,3,1
278.22,608.0,180.75,2.82,175.65,3,0
205.35,654.0,135.2,4.43,61.43,8,0
358.01,729.0,138.68,3.74,46.88,2,1
194.69,677.0,175.45,2.9,335.39,6,1
70.93,621.0,66.85,4.9,298.61,1,1
264.98,544.0,178.85,3.46,64.55,2,1
224.59,611.0,657.03,7.68,104.95,2,1
126.8,753.0,114.62,2.0,109.29,2,1
117.08,823.0,105.98,6.46,51.25,4,0
57.48,737.0,37.54,3.76,207.87,2,1
301.48,716.0,32.1,7.04,24.58,2,0
36.81,694.0,96.21,7.25,61.06,2,0
72.59,612.0,230.87,8.86,221.85,0,1
32.76,703.0,72.48,11.35,92.65,0,1
217.77,680.0,71.17,2.79,292.69,2,1
479.7,648.0,149.53,0.0,79.69,1,1
172.3,744.0,446.69,11.95,97.57,1,0
238.68,587.0,94.17,7.7,404.38,3,1
63.26,806.0,58.25,0.06,106.17,2,0
600.11,608.0,190.94,4.8,143.85,6,1
148.41,707.0,99.39,1.92,25.09,3,0
309.09,782.0,297.3,10.21,295.43,3,1
742.69,649.0,260.42,4.34,276.47,4,0
60.8,694.0,112.86,9.31,267.96,2,0
59.94,610.0,402.51,7.15,168.15,3,0
700.78,688.0,567.21,2.19,1017.67,2,1
131.68,694.0,202.56,5.35,239.14,3,1
168.59,775.0,41.97,11.14,102.47,2,0
87.23,573.0,58.01,7.69,192.95,4,1
228.51,585.0,212.3,0.84,242.17,4,1
66.64,571.0,517.07,13.04,40.89,3,0
341.67,505.0,124.18,6.27,136.91,0,1
176.39,646.0,124.06,0.0,15.06,0,1
101.77,733.0,312.93,9.72,182.02,6,0
158.19,650.0,347.33,1.8,67.19,2,0
148.31,699.0,243.44,0.0,343.68,2,1
304.34,603.0,225.63,3.55,129.11,1,1
123.5,710.0,154.23,1.3,576.75,2,1
210.87,680.0,49.04,12.45,301.38,1,1
239.87,701.0,124.94,6.15,103.15,1,0
238.23,699.0,304.51,4.78,352.48,4,1
130.47,661.0,566.96,2.67,58.69,0,1
135.66,593.0,59.81,2.87,69.19,1,0
56.31,574.0,63.99,12.67,122.95,0,1
136.66,680.0,275.24,4.55,236.01,1,1
102.85,563.0,163.2,9.7,52.39,0,1
212.09,637.0,77.99,0.0,211.94,0,1
122.66,797.0,585.2,3.63,133.76,4,0
48.51,788.0,73.77,0.0,280.02,3,1
74.08,712.0,200.42,0.47,405.75,5,0
44.48,645.0,231.01,4.92,206.9,5,0
134.98,591.0,383.54,16.03,158.16,1,1
159.76,718.0,95.59,9.12,120.8,2,0
160.52,602.0,141.49,4.48,61.37,2,0
58.11,692.0,168.84,11.92,114.32,1,0
116.14,679.0,54.94,8.07,227.13,4,1
267.35,725.0,135.75,8.44,103.34,2,1
51.27,608.0,132.25,6.69,251.21,1,1
180.17,652.0,345.51,13.84,92.41,0,1
175.44,615.0,249.96,0.0,70.63,2,1
86.13,787.0,123.01,2.9,119.14,4,0
196.03,713.0,115.38,4.46,137.82,5,0
304.83,724.0,131.06,5.6,185.22,0,1
31.0,719.0,59.65,0.34,181.97,7,0
81.89,683.0,102.22,0.0,283.71,1,1
247.01,783.0,328.19,8.7,405.85,1,1
343.73,742.0,208.7,8.85,608.22,3,1
47.0,685.0,230.03,1.25,61.47,2,1
195.99,795.0,78.39,3.61,349.28,4,1
126.25,595.0,219.83,0.0,540.24,4,1
213.77,707.0,150.44,1.17,228.83,3,0
167.3,700.0,125.35,2.85,210.52,5,0
179.99,698.0,180.49,4.81,45.54,2,1
209.99,662.0,138.9,2.51,106.4,4,0
192.9,771.0,94.5,6.32,28.22,4,1
399.4,616.0,629.53,7.94,367.12,2,1
146.48,691.0,116.4,3.75,182.7,2,1
120.18,670.0,204.25,5.38,254.35,2,0
204.89,734.0,32.13,0.0,245.41,4,1
600.1,670.0,528.0,1.57,271.43,6,1
118.49,662.0,118.7,8.56,292.61,4,0
277.66,714.0,49.99,0.99,73.57,2,1
203.3,604.0,75.25,3.08,53.17,2,0
225.72,725.0,122.78,2.96,391.16,0,1
59.63,747.0,165.67,3.85,153.29,7,0
120.23,711.0,131.38,4.54,140.03,3,0
261.4,555.0,111.41,0.0,176.51,3,1
171.34,653.0,138.04,8.31,257.46,3,0
